Nama_Produk,Harga
"Laptop Lenovo IDEAPAD SLIM 5 OLED 14 Intel Core i5 13420H RAM 16gb SSD 512ssd W11 + OHS 14"" WUXGA BLIT 2Y + 2ADP",11099000
"HP Omnibook Ultra FLIP 14 OLED ULTRA 7 258V 32gb 1TB W11 + OHS 14"" 2.8K VRR 120HZ 2Y+ADP 2in1 EVO",25799000
"Laptop ASUS Gaming K16 K3605VC Intel COre I5 13420H RTX 3050 4GB RAM 8 GB SSD 512 GB Windows 11 + Office Home Student 16"" WUXGA",9739000
"Laptop ASUS Expertbook P5405CSA Intel COre Ultra 5 226V RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 14"" WQXGA",13699000
"Laptop Acer Aspire Lite 14 AL14 Core 3 N355 RAM 8GB SSD 512 GB Windows 11 + Office Home Student 14"" inch WUXGA IPS",6049000
"Laptop Gaming Acer Predator Helios Neo OLED 16S AI Intel Core Ultra 9 275HX GeForce RTX 5070 VRAM 8 GB RAM 32 GB SSD 1 TB Windows 11 + Office Home Student 16"" WQXGA 240 Hz",35399000
Laptop HP Victus 15 AMD Ryzen 7 7445HS GeForce RTX 4050 6 GB RAm 16 GB SSD 512 GB Windows 11 + Office Home Student 15.6 Full HD 144Hz,15699000
"Laptop HP 14 AMD Ryzen 3 7320 RAM 8 GB SSD 512 Gb Windows 11 + Office Home Student 14"" Full HD IPS",5849000
Laptop ASUS TUF A15 FA506NCG AMD Ryzen 7 7445HS Geforce RTX 3050 4 GB RAM 8 GB SSD 512 GB Windows 11 + Office Home Student 15.6 Full HD 144 Hz,12149000
Laptop MSI Cyborg 15 Intel Core 5 210H GeForce RTX 5060 8 GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 15.6 Full HD IPS 144 Hz,17099000
"Laptop Lenovo Legion 5 OLED Intel Core i7 14700HX GeForce RTX 5060 8 Gb RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 15.1"" WQXGA 165Hz 24Zrgb",24719000
"Laptop Advan Workmate Intel Core i3 1215U RAm 8 GB SSD 256 Gb Windows 11 14"" WUXGA IPS",5299000
LENOVO MONITOR 22 INCH L22-4E IPS FHD 1080P 4MS 100HZ BLACK 3Y,1089000
Laptop Lenovo Thinkpad X13 G6 Intel Core Ultra 7 255U RAm 32 GB SSD 1 Tb Windows 11 Pro 13.3 WUXGA IPS 100 Srgb,29699000
Laptop Lenovo Thinkpad L13 G6 Intel Core Ultra 7 255U RAM 16 GB SSD 1 Tb Windows 11 Pro 13.3 WUXGA IPS,23999000
Laptop Lenovo Thinkpad L13 G6 Intel Core Ultra 5 225U RAm 16 GB SSD 512 GB Windows 11 Pro 13.3 WUXGA IPS,19699000
"Laptop Lenovo Legion 7 16 OLED Intel Core Ultra 9 275HX GeForce RTX5070 8 GB RAM 32 GB SSD 1 Tb Windows 11 + Office Home Student 16"" WQXGA 165Hz",37099000
"Laptop Lenovo Legion 5 15 OLED AMD Ryzen AI 7 350  GeForce RTX 5060 8 GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Stduent 16"" WQXGA 165 Hz",25299000
Laptop Lenovo Legion 5 15 OLED AMD Ryzen AI 7 350 GeForce RTX 5070 8 GB RAM 32 GB SSD 1 Tb Windows 11 + Office Home Student 15.1 WQXGA 165 Hz,28999000
Laptop Lenovo Legion 5 15 OLED Intel Core Ultra 7 255HX GeForce RTX 5060 8 GB RAM 32 GB SSD 512 GB Windows 11 + Office HOme Student 15.1 WQXGA 165 Hz,26699000
"Laptop Lenovo Legion 5 15 OLED Intel Core Ultra 7 255HX GeForce RTX 5070 8 GB RAm 32 GB SSD 512 GB Windows 11 + Office Home Student 15.1"" WQXGA 165 Hz",29999000
"Laptop Lenovo Legion Pro 5 16 OLED Intel COre Ultra 8 275HX GeForce RTX 5070Ti 12 GB RAM 32 GB SSD 1 Tb WIndows 11 + Office Home Student 16"" WQXGA 240Hz",37549000
"Laptop ASUS Zenbook 14 OLED UM3406KA AMD Ryzen Ai 7 350 RAM 16 GB SSD 512 Gb Windows 11 + Office HOme Student 14""",15799000
"Laptop Gaming ASUS TUF F16 FX607VU Intel Core 5 210H GeForce RTX4050 6GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 16"" WUXGA 165Hz 100SRGB",15899000
"Laptop Lenovo Legion Pro 5I 16 Intel COre i9 14900HX GeForce RTX 5060 8GB RAM 32 GB SSD 1 TB Windows 11 + Office Home Student 16"" WQXGA 240 HZ 100 DCIP3",28249000
"Laptop Lenovo Thinkpad T14 Gen 6 Intel Core Ultra 7 255H RAm 32 GB SSD 1 TB 14"" 2.8K Windows 11 pro",27599000
Laptop HP Victus 15 AMD Ryzen 7 7445HS GeForce RTX 3050 6 GB RAm 16 GB SSD 512 GB Windows 11 + Office Home Student 15.6 Full HD 144Hz,11599000
"Laptop Gaming HP Omen Max 16 AMD RYZEN AI 9 HX 375 RTX 5080 16 GB RAM 32 GB SSD 1 TB Windows 11 + Office Home Student 16"" WQXGA 240 Hz 100Srgb PKRGB",49099000
"Laptop HP Omen 16 AMD Ryzen AI 7 GeForce RTX 5070 8GB RAM 16 GB SSD 1 Tb Windows 11 + Office Home Student 16"" WUXGA 165Hz",30349000
"Laptop HP Omen 16 AMD Ryzen AI 9 365 GeForce RTX 5060 8GB RAM 32 GB SSD 1 Tb Windows 11 + Office Home Student 16"" WQXGA 165Hz",27599000
"Laptop HP Omen 16 AMD Ryzen AI 7 GeForce RTX 5060 8GB RAM 16 GB SSD 1 Tb Windows 11 + Office Home Student 16"" WUXGA 165Hz",22799000
"Laptop HP Omnibook 7 OLED 14 Intel COre 9 270H RAM 32 GB SSD 1 Tb Windows 11 + Office Home Student 14"" 3K 120 Hz",21999000
"Laptop HP Omnibook 5 Flip Touch Screen 14 intel Core 7 150U RAm 16 GB SSD 512 GB Windows 11 + Office Home Student 14"" 2K 2 in 1 + Pen",14499000
"Laptop HP Omnibook 5 Flip Touch Screen 14 intel Core 5 120U RAm 16 GB SSD 512 GB Windows 11 + Office Home Student 14"" 2K 2 in 1 + Pen",12649000
"Laptop HP Victus 15 AMD Ryzen AI 7 350 GeForce RTX 5060 8 GB RAM 16 GB SSD 1 TB Windows 11 + Office Home Student 15.6"" Full HD 144Hz",20399000
"Laptop HP Victus 15 AMD Ryzen AI 5 340 GeForce RTX 5060 8 GB RAM 16 GB SSD 1 TB Windows 11 + Office Home Student 15.6"" Full HD 144Hz",18849000
"Laptop HP Victus 15 AMD Ryzen 7 260 GeForce RTX 5050 8 GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 15.6"" Full HD 144Hz",18349000
"Laptop HP Victus 15 AMD Ryzen 5 240 GeForce RTX 5050 8 GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 15.6"" Full HD 144Hz",16799000
Laptop HP Ombibook 3 Next Gen AI AMD Ryzen AI 5 340 RAM 16 GB  SSD 512 GB Windows 11 + Office Home Student,10899000
XIAOMI REDMI 15C RAM 6 GB / 8 GB STORAGE 128 GB / 256 GB GARANSI RESMI,1695000
"ASUS All In One PC Desktop AIO P470VAK Intel Core i7 13620H RAM 16 GB SSD 512 GB WIndows 11 + Office Home Student 27"" Full HD",14149000
"Laptop HP OMEN Transcend 14 OLED Intel COre Ultra 7 255H GeForce RTX 5060 8 GB RAM 32 GB SSD 1 TB Windows 11 + Office Home Student 14"" 3K 120 Hz",31699000
LOGITECH MK250 COMPACT BLUETOOTH WIRELESS KEYBOARD AND MOUSE,409000
LOGITECH K250 COMPACT BLUETOOTH WIRELESS KEYBOARD,275000
LOGITECH M196 MOUSE WIRELESS BLUETOOTH,182000
LOGITECH H151 HEADSET STEREO MIKROFON NOISE-CANCELLING,209000
Laptop MSI Cyborg 15 Intel Core 5 210H GeForce RTX 5050 8 GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 15.6 Full HD IPS 144 Hz,14999000
"Laptop Lenovo Legion 5 15 Intel Core i7 13650HX RTX 5050 8 GB RAM 16 gb SSD 512 GB Windows 11 + Office Home Student 15.3"" WUXGA 165Hz 100Srgb",19399000
Laptop Tecno Megabook K15S AMD Ryzen 5 7430 RAm 8 GB SSD 512 GB Windows 11 15.6 Full HD IPS,6299000
"Laptop Acer Aspire 7 Pro A715 Intel Core i7 13620H RTX 3050 6GB RAm 16 GB SSD 512 GB WIndows 11 + Office Home Student 15.6y"" Full HD 144 Hz",12399000
"Laptop Acer Nitro Lite 16 Core 5 210H GeForce RTX 3050 6 GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 16"" WUXGA 180 Hz 100 Srgb",11499000
"Laptop Acer Nitro V 16S AMD Ryzen 5 240 GeForce RTX 5050 8 GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 16"" WUXGA 180 Hz 100 Srgb",17299000
"Laptop Acer Nitro V16S AMD Ryzen 7 260 GeForce RTX 5050 8 GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 16"" WUXGA 180 Hz 100 Srgb",18599000
"Laptop Acer Nitro V 16S AMD Ryzen 7 260 GeForce RTX 5060 8 GB RAM 16 GB SSD 512 GB Windows 11 + Office HOme Student 16"" WQXGA 180Hz 100 Srgb",20499000
Laptop HP Victus 15 AMD Ryzen 7 8845HS GeForce RTX 4050 6 GB RAm 8 GB SSD 512 GB Windows 11 + Office Home Student 15.6 Full HD 144Hz,15099000
"Laptop HP Omnibook X 14 Touch Screen Snapdragon X Elite X1E 78100 RAM 16 GB SSD 1 TB Windows 11 + Office Home Student 14"" 2.2K",18599000
"Laptop HP Pavilion Plus 14 OLED Intel COre i7 1355 RAM 16 GB SSD 1 Tb Windows 11 + Office Home Student 14"" 2.8K",14999000
"Laptop HP 14 Intel Core i3 1315 RAM 8 GB SSD 512 GB Windows 11 + Office Home Student 14"" FHD Blit Copilot",6499000
"Laptop Tablet ADVAN 2in1 EVO-X 13 Intel Celeron N150 RAM 12 GB SSD 512 GB Windows 11 13"" 3K IPS 100 SRGB",6299000
"Laptop Lenovo Thinkpad L13 2in1 Gen 6 Touch Screen Intel Core Ultra 7 255U RAM 16 GB SSD 1 Tb WIndows 11 Pro 13.3"" WUXGA IPS 100 Srgb + Pen",26199000
Laptop MSI Cyborg 15 Intel Core 7 240H RTX 5060 8 GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 15.6 Full HD 144Hz,17499000
"Laptop MSI Stealth A16 Mercedes AMG AI+ AMD Ryzen AI 9 HX 370 GeForce RTX 5070 8 GB RAM 32 GB SSD 1 TB Windows 11 + Office Home Student 16"" QHD+ OLED 240 Hz",43499000
