Nama_Laptop,Processor,RAM,GPU,Display,Storage,Harga_USD,Detail_URL,Buy_Link
HP 250 G10 / 255 G10,AMD Ryzen 5 7530U,16GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,62900,https://laptopmedia.com/laptop-specs/hp-250-g10-255-g10-509/,https://www.amazon.com/exec/obidos/ASIN/B0DZXGSJRB?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP Chromebook 15,Intel Processor N200,8GB RAM,Intel UHD Graphics Xe 750 (32EU),"15.6”, Full HD (1920 x 1080), IPS",64GB SSD,33999,https://laptopmedia.com/laptop-specs/hp-chromebook-15-104/,https://www.amazon.com/exec/obidos/ASIN/B0FH2289Q9?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 250 G9 / 255 G9,AMD Athlon Silver 3050U,16GB RAM,AMD Radeon RX Vega 3,"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,39999,https://laptopmedia.com/laptop-specs/hp-250-g9-255-g9-344/,https://www.amazon.com/exec/obidos/ASIN/B0FJLJLK14?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP OmniBook X Flip,AMD Ryzen AI 5 340,16GB RAM,AMD Radeon 840M,"16.0″, WUXGA (1920 x 1200), IPS",1000GB SSD,75999,https://laptopmedia.com/laptop-specs/hp-omnibook-x-flip-89/,https://www.amazon.com/exec/obidos/ASIN/B0FHJZXQ19?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i3-1315U,8GB RAM,"Intel UHD Graphics (Alder Lake, 64EU)","15.6”, HD (1366 x 768), TN",512GB SSD,45900,https://laptopmedia.com/laptop-specs/hp-15-22160/,https://www.amazon.com/exec/obidos/ASIN/B0F9PLV7ZG?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP Chromebook 15,Intel Core i3-N300,8GB RAM,Intel UHD Graphics Xe 750 (32EU),"15.6”, HD (1366 x 768), TN",64GB SSD,34999,https://laptopmedia.com/laptop-specs/hp-chromebook-15-99/,https://www.amazon.com/exec/obidos/ASIN/B0FG81BP8V?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,AMD Ryzen 3 7320U,8GB RAM,AMD Radeon 610M,"17.3”, HD+ (1600 x 900), TN",256GB SSD,39899,https://laptopmedia.com/laptop-specs/hp-17-18274/,https://www.amazon.com/exec/obidos/ASIN/B0CLYMPBX7?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP ZBook Firefly 16 G10,Intel Core i7-1355U,16GB RAM,"NVIDIA RTX A500 (Laptop, 30W)","16.0”, WUXGA (1920 x 1200), IPS",1000GB SSD,129999,https://laptopmedia.com/laptop-specs/hp-zbook-firefly-16-g10-113/,https://www.amazon.com/exec/obidos/ASIN/B0CNS7JTQF?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i3-1215U,8GB RAM,"Intel UHD Graphics (Alder Lake, 64EU)","15.6”, Full HD (1920 x 1080), TN",256GB SSD,46999,https://laptopmedia.com/laptop-specs/hp-15-21106/,https://www.amazon.com/exec/obidos/ASIN/B0DXXS4RRC?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i3-1215U,16GB RAM,"Intel UHD Graphics (Alder Lake, 64EU)","15.6”, Full HD (1920 x 1080), TN",512GB SSD,43999,https://laptopmedia.com/laptop-specs/hp-15-20841/,https://www.amazon.com/exec/obidos/ASIN/B0DX2M9TC1?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP Victus 15,Intel Core i5-13420H,32GB RAM,"NVIDIA GeForce RTX 3050 (Laptop, 75W, 6GB)","15.6”, Full HD (1920 x 1080), 144 Hz, IPS",2000GB SSD,88900,https://laptopmedia.com/laptop-specs/hp-victus-15-719/,https://www.amazon.com/exec/obidos/ASIN/B0CN3LNF2H?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP Pavilion x360 14,Intel Core i5-1235U,24GB RAM,Intel Iris Xe Graphics G7 (80EU),"14.0”, Full HD (1920 x 1080), IPS",1000GB SSD,89981,https://laptopmedia.com/laptop-specs/hp-pavilion-x360-14-1718/,https://www.amazon.com/exec/obidos/ASIN/B0BH3ZST3S?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP ProBook 450 G9,Intel Core i5-1235U,16GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), IPS",256GB SSD,82999,https://laptopmedia.com/laptop-specs/hp-probook-450-g9-315/,https://www.amazon.com/exec/obidos/ASIN/B0C5C84CKD?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP EliteBook 860 G10,Intel Core i5-1335U,8GB RAM,Intel Iris Xe Graphics G7 (80EU),"16.0”, WUXGA (1920 x 1200), IPS",256GB SSD,97623,https://laptopmedia.com/laptop-specs/hp-elitebook-860-g10-11/,https://www.amazon.com/exec/obidos/ASIN/B0C7N5RBBH?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP Pavilion 15,Intel Core i7-1165G7,32GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), IPS",2000GB SSD,114900,https://laptopmedia.com/laptop-specs/hp-pavilion-15-5282/,https://www.amazon.com/exec/obidos/ASIN/B0CF13KP7M?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP Victus 15,AMD Ryzen 5 8645HS,16GB RAM,"NVIDIA GeForce RTX 4050 (Laptop, 120W)","15.6”, Full HD (1920 x 1080), 144 Hz, IPS",1000GB SSD,87918,https://laptopmedia.com/laptop-specs/hp-victus-15-2378/,https://www.amazon.com/exec/obidos/ASIN/B0D9KHZ12S?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i7-1165G7,12GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), IPS",256GB SSD,79900,https://laptopmedia.com/laptop-specs/hp-15-18003/,https://www.amazon.com/exec/obidos/ASIN/B0CNGSW57S?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,Intel Core i7-1355U,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"17.3”, HD+ (1600 x 900), TN",1000GB SSD,99900,https://laptopmedia.com/laptop-specs/hp-17-16805/,https://www.amazon.com/exec/obidos/ASIN/B0CBVVYSZC?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i3-N305,16GB RAM,Intel UHD Graphics Xe 750 (32EU),"15.6”, Full HD (1920 x 1080), IPS",512GB SSD,54999,https://laptopmedia.com/laptop-specs/hp-15-20725/,https://www.amazon.com/exec/obidos/ASIN/B0DW88X94L?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
