Nama_Laptop,Processor,RAM,GPU,Display,Storage,Harga_USD,Detail_URL,Buy_Link
HP Victus 15,Intel Core i5-12450H,32GB RAM,"NVIDIA GeForce RTX 3050 (Laptop, 75W, 6GB)","15.6”, Full HD (1920 x 1080), 144 Hz, IPS",1000GB SSD,105900,https://laptopmedia.com/laptop-specs/hp-victus-15-111/,https://www.amazon.com/exec/obidos/ASIN/B0F9Y6F4NX?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP Chromebook 14,Intel Celeron N3350,4GB RAM,Intel HD Graphics 500 (Apollo Lake),"14.0”, HD (1366 x 768), TN",32GB SSD,16200,https://laptopmedia.com/laptop-specs/hp-chromebook-14-258/,https://www.amazon.com/exec/obidos/ASIN/B08BJ9DPYD?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP OmniBook X Flip,AMD Ryzen AI 7 350,24GB RAM,AMD Radeon 860M,"16.0”, WUXGA (1920 x 1200), IPS",1000GB SSD,99999,https://laptopmedia.com/laptop-specs/hp-omnibook-x-flip-41/,https://www.amazon.com/exec/obidos/ASIN/B0FG2Q665K?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Processor N150,8GB RAM,Intel UHD Graphics Xe (24EU),"14.0”, HD (1366 x 768), TN",128GB SSD,24900,https://laptopmedia.com/laptop-specs/hp-14-7903/,https://www.amazon.com/exec/obidos/ASIN/B0FDQZT8RC?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,Intel Core i3-N305,16GB RAM,Intel UHD Graphics Xe 750 (32EU),"17.3”, HD+ (1600 x 900), TN",2000GB SSD,57900,https://laptopmedia.com/laptop-specs/hp-17-22312/,https://www.amazon.com/exec/obidos/ASIN/B0FQJ41RC3?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,Intel Core Ultra 7 255U,16GB RAM,Intel Graphics (4-Cores),"17.3”, Full HD (1920 x 1080), IPS",1000GB SSD,76999,https://laptopmedia.com/laptop-specs/hp-17-22174/,https://www.amazon.com/exec/obidos/ASIN/B0FRJLV22J?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i3-1215U,48GB RAM,"Intel UHD Graphics (Alder Lake, 64EU)","15.6”, HD (1366 x 768), TN",2000GB SSD,84900,https://laptopmedia.com/laptop-specs/hp-15-25007/,https://www.amazon.com/exec/obidos/ASIN/B0DQXVBBNR?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,AMD Ryzen 5 7430U,16GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","17.3”, Full HD (1920 x 1080), IPS",256GB SSD,51999,https://laptopmedia.com/laptop-specs/hp-17-22075/,https://www.amazon.com/exec/obidos/ASIN/B0F1P1FKNF?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i3-1315U,32GB RAM,"Intel UHD Graphics (Alder Lake, 64EU)","15.6”, HD (1366 x 768), TN",1000GB SSD,64900,https://laptopmedia.com/laptop-specs/hp-15-24839/,https://www.amazon.com/exec/obidos/ASIN/B0FPCW989R?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i3-1215U,16GB RAM,"Intel UHD Graphics (Alder Lake, 64EU)","15.6”, HD (1366 x 768), TN",1000GB SSD,67999,https://laptopmedia.com/laptop-specs/hp-15-24790/,https://www.amazon.com/exec/obidos/ASIN/B0DX22VWFK?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,Intel Core i3-N305,16GB RAM,Intel UHD Graphics Xe 750 (32EU),"17.3”, HD+ (1600 x 900), TN",512GB SSD,52999,https://laptopmedia.com/laptop-specs/hp-17-21752/,https://www.amazon.com/exec/obidos/ASIN/B0DHCT7RV8?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,AMD Ryzen 5 7530U,64GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","17.3”, HD+ (1600 x 900), TN",1000GB SSD,103999,https://laptopmedia.com/laptop-specs/hp-17-21713/,https://www.amazon.com/exec/obidos/ASIN/B0FJRRJKWB?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Processor N150,32GB RAM,Intel UHD Graphics Xe (24EU),"14.0”, HD (1366 x 768), TN",129GB SSD,39899,https://laptopmedia.com/laptop-specs/hp-14-10442/,https://www.amazon.com/exec/obidos/ASIN/B0FPXTN3GV?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Processor N150,32GB RAM,Intel UHD Graphics Xe (24EU),"14.0”, HD (1366 x 768), TN",128GB SSD,38949,https://laptopmedia.com/laptop-specs/hp-14-10437/,https://www.amazon.com/exec/obidos/ASIN/B0FM66JCH1?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i3-1215U,32GB RAM,"Intel UHD Graphics (Alder Lake, 64EU)","15.6”, HD (1366 x 768), TN",2000GB SSD,70999,https://laptopmedia.com/laptop-specs/hp-15-24429/,https://www.amazon.com/exec/obidos/ASIN/B0FG7YLG83?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i7-1255U,40GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), TN",512GB SSD,76439,https://laptopmedia.com/laptop-specs/hp-15-24418/,https://www.amazon.com/exec/obidos/ASIN/B0FQ6YSX4W?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Processor N150,32GB RAM,Intel UHD Graphics Xe (24EU),"14.0”, Full HD (1920 x 1080), IPS",128GB SSD,40849,https://laptopmedia.com/laptop-specs/hp-14-10326/,https://www.amazon.com/exec/obidos/ASIN/B0FPYLM5LD?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14 (14-dq1000),Intel Core i5-1035G4,8GB RAM,Intel Iris Plus Graphics G4,"14.0”, Full HD (1920 x 1080), IPS",128GB SSD,45499,https://laptopmedia.com/laptop-specs/hp-14-14-dq1000-415/,https://www.amazon.com/exec/obidos/ASIN/B081945D2S?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Processor N150,16GB RAM,Intel UHD Graphics Xe (24EU),"14.0”, Full HD (1920 x 1080), IPS",128GB SSD,33900,https://laptopmedia.com/laptop-specs/hp-14-9734/,https://www.amazon.com/exec/obidos/ASIN/B0FJ7LKVG3?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 250 G10 / 255 G10,AMD Ryzen 3 7330U,8GB RAM,"AMD Radeon RX Vega 6 (R4000/5000, 15W)","15.6”, Full HD (1920 x 1080), IPS",256GB SSD,44900,https://laptopmedia.com/laptop-specs/hp-250-g10-255-g10-431/,https://www.amazon.com/exec/obidos/ASIN/B0FFD6JLS3?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP Pavilion Plus 14,Intel Core Ultra 5 125H,16GB RAM,Intel Arc (7-Cores),"14.0”, WUXGA (1920 x 1200), IPS",1000GB SSD,111499,https://laptopmedia.com/laptop-specs/hp-pavilion-plus-14-231/,https://www.amazon.com/exec/obidos/ASIN/B0D96RPR14?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP Victus 15,Intel Core i5-12450H,24GB RAM,"NVIDIA GeForce RTX 3050 (Laptop, 75W, 6GB)","15.6”, Full HD (1920 x 1080), 144 Hz, IPS",2000GB SSD,93900,https://laptopmedia.com/laptop-specs/hp-victus-15-2257/,https://www.amazon.com/exec/obidos/ASIN/B0DFWBHFC1?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP Victus 15,Intel Core i5-12450H,32GB RAM,"NVIDIA GeForce RTX 3050 (Laptop, 75W, 6GB)","15.6”, Full HD (1920 x 1080), 144 Hz, IPS",2000GB SSD,97900,https://laptopmedia.com/laptop-specs/hp-victus-15-2238/,https://www.amazon.com/exec/obidos/ASIN/B0DFPPLP35?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP Victus 15,Intel Core i5-12450H,16GB RAM,"NVIDIA GeForce RTX 3050 (Laptop, 75W, 6GB)","15.6”, Full HD (1920 x 1080), 144 Hz, IPS",1000GB SSD,84900,https://laptopmedia.com/laptop-specs/hp-victus-15-2056/,https://www.amazon.com/exec/obidos/ASIN/B0DDTXCTVJ?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i7-1355U,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,59000,https://laptopmedia.com/laptop-specs/hp-15-19986/,https://www.amazon.com/exec/obidos/ASIN/B0DMWMKSG5?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,Intel Core i3-1215U,32GB RAM,"Intel UHD Graphics (Alder Lake, 64EU)","17.3”, Full HD (1920 x 1080), IPS",1000GB SSD,56099,https://laptopmedia.com/laptop-specs/hp-17-2512/,https://www.amazon.com/exec/obidos/ASIN/B0DJW2QQFQ?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 250 G9 / 255 G9,AMD Athlon Silver 3050U,16GB RAM,AMD Radeon RX Vega 3,"15.6”, Full HD (1920 x 1080), IPS",2000GB SSD,44999,https://laptopmedia.com/laptop-specs/hp-250-g9-255-g9-566/,https://www.amazon.com/exec/obidos/ASIN/B0F482327S?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,AMD Ryzen 7 7730U,24GB RAM,"AMD Radeon RX Vega 8 (R4000/5000, 15W)","15.6”, Full HD (1920 x 1080), IPS",2000GB SSD,81900,https://laptopmedia.com/laptop-specs/hp-15-25040/,https://www.amazon.com/exec/obidos/ASIN/B0FJXV3F1B?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i3-1215U,24GB RAM,"Intel UHD Graphics (Alder Lake, 64EU)","15.6”, HD (1366 x 768), TN",2000GB SSD,67900,https://laptopmedia.com/laptop-specs/hp-15-24995/,https://www.amazon.com/exec/obidos/ASIN/B0DQXTJX65?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i3-1315U,64GB RAM,"Intel UHD Graphics (Alder Lake, 64EU)","15.6”, HD (1366 x 768), TN",2000GB SSD,87900,https://laptopmedia.com/laptop-specs/hp-15-24853/,https://www.amazon.com/exec/obidos/ASIN/B0FP19QTQW?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i3-1315U,24GB RAM,"Intel UHD Graphics (Alder Lake, 64EU)","15.6”, HD (1366 x 768), TN",1000GB SSD,60900,https://laptopmedia.com/laptop-specs/hp-15-24835/,https://www.amazon.com/exec/obidos/ASIN/B0FN7MQMPW?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,Intel Core i7-1355U,32GB RAM,Intel Iris Xe Graphics G7 (96EU),"17.3”, HD+ (1600 x 900), TN",1000GB SSD,94999,https://laptopmedia.com/laptop-specs/hp-17-21974/,https://www.amazon.com/exec/obidos/ASIN/B0FMWP3VZX?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Core i7-1355U,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"14.0”, Full HD (1920 x 1080), IPS",1000GB SSD,104900,https://laptopmedia.com/laptop-specs/hp-14-10605/,https://www.amazon.com/exec/obidos/ASIN/B0F8VQFRZX?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Processor N150,8GB RAM,Intel UHD Graphics Xe (24EU),"14.0”, Full HD (1920 x 1080), IPS",128GB SSD,28900,https://laptopmedia.com/laptop-specs/hp-14-10580/,https://www.amazon.com/exec/obidos/ASIN/B0FN4WYWX5?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Processor N100,32GB RAM,Intel UHD Graphics Xe (24EU),"15.6”, Full HD (1920 x 1080), TN",2000GB SSD,56999,https://laptopmedia.com/laptop-specs/hp-15-24681/,https://www.amazon.com/exec/obidos/ASIN/B0FVG6WZ2L?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,Intel Core i3-N305,32GB RAM,Intel UHD Graphics Xe 750 (32EU),"17.3”, HD+ (1600 x 900), TN",512GB SSD,71900,https://laptopmedia.com/laptop-specs/hp-17-21797/,https://www.amazon.com/exec/obidos/ASIN/B0FTK359GR?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,Intel Core i3-N305,16GB RAM,Intel UHD Graphics Xe 750 (32EU),"17.3”, HD+ (1600 x 900), TN",512GB SSD,44910,https://laptopmedia.com/laptop-specs/hp-17-21790/,https://www.amazon.com/exec/obidos/ASIN/B0FTJK58KG?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Celeron N4120,8GB RAM,Intel UHD Graphics 600,"14.0”, HD (1366 x 768), TN",64GB SSD,29999,https://laptopmedia.com/laptop-specs/hp-14-10472/,https://www.amazon.com/exec/obidos/ASIN/B0FHKY2ZZD?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Processor N150,8GB RAM,Intel UHD Graphics Xe (24EU),"14.0”, HD (1366 x 768), TN",128GB SSD,33999,https://laptopmedia.com/laptop-specs/hp-14-10455/,https://www.amazon.com/exec/obidos/ASIN/B0FPY97LJX?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i7-1255U,32GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), TN",512GB SSD,74999,https://laptopmedia.com/laptop-specs/hp-15-24381/,https://www.amazon.com/exec/obidos/ASIN/B0FQLQHJPH?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,Intel Core i3-N305,32GB RAM,Intel UHD Graphics Xe 750 (32EU),"17.3”, HD+ (1600 x 900), TN",2000GB SSD,79999,https://laptopmedia.com/laptop-specs/hp-17-21643/,https://www.amazon.com/exec/obidos/ASIN/B0FL2GV313?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Processor N150,8GB RAM,Intel UHD Graphics Xe (24EU),"14.0”, HD (1366 x 768), TN",128GB SSD,33999,https://laptopmedia.com/laptop-specs/hp-14-10337/,https://www.amazon.com/exec/obidos/ASIN/B0FM5TSJPV?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Processor N150,16GB RAM,Intel UHD Graphics Xe (24EU),"14.0”, Full HD (1920 x 1080), IPS",128GB SSD,33900,https://laptopmedia.com/laptop-specs/hp-14-10283/,https://www.amazon.com/exec/obidos/ASIN/B0FR3JMGY2?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Processor N150,16GB RAM,Intel UHD Graphics Xe (24EU),"14.0”, HD (1366 x 768), TN",128GB SSD,37900,https://laptopmedia.com/laptop-specs/hp-14-10254/,https://www.amazon.com/exec/obidos/ASIN/B0FLDMHGDZ?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP OmniBook X Flip,AMD Ryzen AI 5 340,16GB RAM,AMD Radeon 840M,"16.0″, WUXGA (1920 x 1200), IPS",512GB SSD,64999,https://laptopmedia.com/laptop-specs/hp-omnibook-x-flip-88/,https://www.amazon.com/exec/obidos/ASIN/B0FHK186H5?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP Chromebook 14,Intel Celeron N4500,4GB RAM,Intel UHD Graphics (Jasper Lake 16 EU),"14.0”, HD (1366 x 768), TN",64GB SSD,22900,https://laptopmedia.com/laptop-specs/hp-chromebook-14-285/,https://www.amazon.com/exec/obidos/ASIN/B0FHDXFR9M?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP ENVY x360 15,Intel Core i7-1355U,32GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,99999,https://laptopmedia.com/laptop-specs/hp-envy-x360-15-5130/,https://www.amazon.com/exec/obidos/ASIN/B0CNP2GDHX?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Processor N200,8GB RAM,Intel UHD Graphics Xe 750 (32EU),"15.6”, HD (1366 x 768), TN",128GB SSD,47999,https://laptopmedia.com/laptop-specs/hp-15-14097/,N/A
HP 14,Intel Core i7-1355U,32GB RAM,Intel Iris Xe Graphics G7 (96EU),"14.0”, Full HD (1920 x 1080), IPS",1000GB SSD,101900,https://laptopmedia.com/laptop-specs/hp-14-8263/,https://www.amazon.com/exec/obidos/ASIN/B0DKJLPTVF?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP EliteBook 640 G10,Intel Core i5-1335U,8GB RAM,Intel Iris Xe Graphics G7 (80EU),"14.0”, Full HD (1920 x 1080), IPS",256GB SSD,69900,https://laptopmedia.com/laptop-specs/hp-elitebook-640-g10-13/,https://www.amazon.com/exec/obidos/ASIN/B0C5S46J31?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP Chromebook x360 14,Intel Core i3-1115G4,8GB RAM,Intel UHD Graphics Xe G4 (48EU),"14.0”, Full HD (1920 x 1080), IPS",128GB SSD,43900,https://laptopmedia.com/laptop-specs/hp-chromebook-x360-14-129/,https://www.amazon.com/exec/obidos/ASIN/B092T12TXH?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,Intel Core i3-1215U,32GB RAM,"Intel UHD Graphics (Alder Lake, 64EU)","17.3”, Full HD (1920 x 1080), IPS",2000GB SSD,59330,https://laptopmedia.com/laptop-specs/hp-17-2863/,https://www.amazon.com/exec/obidos/ASIN/B0D15X3T46?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,AMD Ryzen 7 5700U,16GB RAM,"AMD Radeon RX Vega 8 (R4000/5000, 15W)","14.0”, HD (1366 x 768), TN",512GB SSD,38999,https://laptopmedia.com/laptop-specs/hp-14-6761/,https://www.amazon.com/exec/obidos/ASIN/B0D8TT2TBF?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP Victus 15,Intel Core i5-12450H,48GB RAM,"NVIDIA GeForce RTX 3050 (Laptop, 75W, 6GB)","15.6”, Full HD (1920 x 1080), 144 Hz, IPS",2000GB SSD,110900,https://laptopmedia.com/laptop-specs/hp-victus-15-2231/,https://www.amazon.com/exec/obidos/ASIN/B0DFW9ZFV9?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 250 G10 / 255 G10,AMD Ryzen 7 7730U,16GB RAM,"AMD Radeon RX Vega 8 (R4000/5000, 15W)","15.6”, Full HD (1920 x 1080), IPS",512GB SSD,63900,https://laptopmedia.com/laptop-specs/hp-250-g10-255-g10-257/,https://www.amazon.com/exec/obidos/ASIN/B0DPKSZPXT?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP Victus 15,Intel Core i5-12450H,64GB RAM,"NVIDIA GeForce RTX 3050 (Laptop, 75W, 6GB)","15.6”, Full HD (1920 x 1080), 144 Hz, IPS",2000GB SSD,110999,https://laptopmedia.com/laptop-specs/hp-victus-15-2040/,https://www.amazon.com/exec/obidos/ASIN/B0DDTZYR7D?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Processor N200,8GB RAM,Intel UHD Graphics Xe 750 (32EU),"15.6”, HD (1366 x 768), TN",128GB SSD,28900,https://laptopmedia.com/laptop-specs/hp-15-17860/,https://www.amazon.com/exec/obidos/ASIN/B0CL8BV68V?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP Pavilion Plus 14,AMD Ryzen 7 8845HS,16GB RAM,AMD Radeon 780M,"14.0″, 2.8K (2880 x 1800), 120 Hz, OLED",1000GB SSD,115900,https://laptopmedia.com/laptop-specs/hp-pavilion-plus-14-286/,https://www.amazon.com/exec/obidos/ASIN/B0DJVSD6P4?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP ZBook Firefly 14 G10,Intel Core i7-1355U,32GB RAM,"NVIDIA RTX A500 (Laptop, 30W)","14.0”, WUXGA (1920 x 1200), IPS",1000GB SSD,139999,https://laptopmedia.com/laptop-specs/hp-zbook-firefly-14-g10-81/,https://www.amazon.com/exec/obidos/ASIN/B0D6X3LRRW?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP ENVY x360 14,AMD Ryzen 5 8640HS,16GB RAM,AMD Radeon 760M,"14.0”, WUXGA (1920 x 1200), IPS",1000GB SSD,66200,https://laptopmedia.com/laptop-specs/hp-envy-x360-14-171/,https://www.amazon.com/exec/obidos/ASIN/B0DLW5K5L6?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Celeron N4120,4GB RAM,Intel UHD Graphics 600,"14.0”, HD (1366 x 768), TN",64GB SSD,24900,https://laptopmedia.com/laptop-specs/hp-14-9619/,https://www.amazon.com/exec/obidos/ASIN/B0CQL83CMB?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 250 G10 / 255 G10,AMD Ryzen 5 7530U,16GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","15.6”, Full HD (1920 x 1080), TN",512GB SSD,59999,https://laptopmedia.com/laptop-specs/hp-250-g10-255-g10-491/,https://www.amazon.com/exec/obidos/ASIN/B0F6PHZYFR?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP ENVY x360 16,AMD Ryzen 7 8840HS,16GB RAM,AMD Radeon 780M,"16.0”, WUXGA (1920 x 1200), IPS",1000GB SSD,94900,https://laptopmedia.com/laptop-specs/hp-envy-x360-16-514/,https://www.amazon.com/exec/obidos/ASIN/B0FGD77CZL?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 250 G8 / 255 G8,Intel Core i5-1135G7,32GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, HD (1366 x 768), TN",1000GB SSD,67900,https://laptopmedia.com/laptop-specs/hp-250-g8-255-g8-83/,https://www.amazon.com/exec/obidos/ASIN/B0DQSD8Y62?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP ENVY x360 16,Intel Core Ultra 5 125U,16GB RAM,Intel Graphics (4-Cores),"16.0”, WUXGA (1920 x 1200), IPS",512GB SSD,69900,https://laptopmedia.com/laptop-specs/hp-envy-x360-16-347/,https://www.amazon.com/exec/obidos/ASIN/B0DJNYP9JG?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i5-1235U,12GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), IPS",512GB SSD,54900,https://laptopmedia.com/laptop-specs/hp-15-22540/,https://www.amazon.com/exec/obidos/ASIN/B0DHXM6TV3?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i3-N305,16GB RAM,Intel UHD Graphics Xe 750 (32EU),"15.6”, Full HD (1920 x 1080), IPS",512GB SSD,49900,https://laptopmedia.com/laptop-specs/hp-15-22537/,https://www.amazon.com/exec/obidos/ASIN/B0DMZ9RN8W?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,AMD Ryzen 3 5300U,32GB RAM,"AMD Radeon RX Vega 6 (R4000/5000, 15W)","15.6”, HD (1366 x 768), TN",1000GB SSD,44999,https://laptopmedia.com/laptop-specs/hp-15-21513/,https://www.amazon.com/exec/obidos/ASIN/B0F3CD3S4W?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP ENVY x360 15,Intel Core i5-1335U,8GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), IPS",512GB SSD,63896,https://laptopmedia.com/laptop-specs/hp-envy-x360-15-5453/,https://www.amazon.com/exec/obidos/ASIN/B0DNYM5JW3?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i3-1315U,64GB RAM,"Intel UHD Graphics (Alder Lake, 64EU)","15.6”, Full HD (1920 x 1080), TN",2000GB SSD,59999,https://laptopmedia.com/laptop-specs/hp-15-21340/,https://www.amazon.com/exec/obidos/ASIN/B0DR9P3WNZ?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP ProBook 445 G11,AMD Ryzen 5 7535U,16GB RAM,AMD Radeon 660M,"14.0”, WUXGA (1920 x 1200), IPS",256GB SSD,87900,https://laptopmedia.com/laptop-specs/hp-probook-445-g11-11/,https://www.amazon.com/exec/obidos/ASIN/B0D45W6MLJ?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,AMD Ryzen 5 7530U,32GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","15.6”, Full HD (1920 x 1080), TN",1000GB SSD,49999,https://laptopmedia.com/laptop-specs/hp-15-19960/,https://www.amazon.com/exec/obidos/ASIN/B0DKTTJY56?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i3-1115G4,16GB RAM,Intel UHD Graphics Xe G4 (48EU),"15.6”, HD (1366 x 768), TN",512GB SSD,43900,https://laptopmedia.com/laptop-specs/hp-15-23162/,https://www.amazon.com/exec/obidos/ASIN/B0DG1J9K1L?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 250 G9 / 255 G9,Intel Core i5-1235U,16GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), IPS",512GB SSD,52900,https://laptopmedia.com/laptop-specs/hp-250-g9-255-g9-250/,https://www.amazon.com/exec/obidos/ASIN/B0DHCSP4WV?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP ENVY x360 15,Intel Core i7-1355U,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), IPS",512GB SSD,71800,https://laptopmedia.com/laptop-specs/hp-envy-x360-15-5378/,https://www.amazon.com/exec/obidos/ASIN/B0CFRJG5B9?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i5-1135G7,16GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, HD (1366 x 768), TN",256GB SSD,62900,https://laptopmedia.com/laptop-specs/hp-15-18923/,https://www.amazon.com/exec/obidos/ASIN/B0CNSNXNHS?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP Chromebook 14,Intel Celeron N4020,4GB RAM,Intel UHD Graphics 600,"14.0”, HD (1366 x 768), TN",32GB SSD,41363,https://laptopmedia.com/laptop-specs/hp-chromebook-14-64/,https://www.amazon.com/exec/obidos/ASIN/B094W9YFVJ?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,AMD 3020e,4GB RAM,AMD Radeon RX Vega 3,"14.0”, HD (1366 x 768), TN",64GB SSD,21645,https://laptopmedia.com/laptop-specs/hp-14-2426/,https://www.amazon.com/exec/obidos/ASIN/B08CM6Q55C?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
